timestamp,actual,predicted
2024-09-24 21:20:00,0.0,0.04315756
2024-09-24 21:25:00,0.0,0.04315756
2024-09-24 21:30:00,0.0,0.04315756
2024-09-24 21:35:00,0.0,0.04315756
2024-09-24 21:40:00,0.0,0.04315756
2024-09-24 21:45:00,0.0,0.04315756
2024-09-24 21:50:00,0.0,0.04315756
2024-09-24 21:55:00,0.0,0.04315756
2024-09-24 22:00:00,0.0,0.04315756
2024-09-24 22:05:00,0.0,0.04315756
2024-09-24 22:10:00,0.0,0.04315756
2024-09-24 22:15:00,0.0,0.04315756
2024-09-24 22:20:00,0.0,0.04315756
2024-09-24 22:25:00,0.0,0.04315756
2024-09-24 22:30:00,0.0,0.04315756
2024-09-24 22:35:00,0.0,0.04315756
2024-09-24 22:40:00,0.0,0.04315756
2024-09-24 22:45:00,0.0,0.04315756
2024-09-24 22:50:00,0.0,0.04315756
2024-09-24 22:55:00,0.0,0.04315756
2024-09-24 23:00:00,0.0,0.04315756
2024-09-24 23:05:00,0.0,0.04315756
2024-09-24 23:10:00,0.0,0.04315756
2024-09-24 23:15:00,0.0,0.04315756
2024-09-24 23:20:00,0.0,0.04315756
2024-09-24 23:25:00,0.0,0.04315756
2024-09-24 23:30:00,0.0,0.04315756
2024-09-24 23:35:00,0.0,0.04315756
2024-09-24 23:40:00,0.0,0.04315756
2024-09-24 23:45:00,0.0,0.04315756
2024-09-24 23:50:00,0.0,0.04315756
2024-09-24 23:55:00,0.0,0.04315756
2024-09-25 00:00:00,0.0,0.04315756
2024-09-25 00:05:00,0.0,0.04315756
2024-09-25 00:10:00,0.0,0.04315756
2024-09-25 00:15:00,0.0,0.04315756
2024-09-25 00:20:00,0.0,0.04315756
2024-09-25 00:25:00,0.0,0.04315756
2024-09-25 00:30:00,0.0,0.04315756
2024-09-25 00:35:00,0.0,0.04315756
2024-09-25 00:40:00,0.0,0.04315756
2024-09-25 00:45:00,0.0,0.04315756
2024-09-25 00:50:00,0.0,0.04315756
2024-09-25 00:55:00,0.0,0.04315756
2024-09-25 01:00:00,0.0,0.04315756
2024-09-25 01:05:00,0.0,0.04315756
2024-09-25 01:10:00,0.0,0.04315756
2024-09-25 01:15:00,0.0,0.04315756
2024-09-25 01:20:00,0.0,0.04315756
2024-09-25 01:25:00,0.0,0.04315756
2024-09-25 01:30:00,0.0,0.04315756
2024-09-25 01:35:00,0.0,0.04315756
2024-09-25 01:40:00,0.0,0.04315756
2024-09-25 01:45:00,0.0,0.04315756
2024-09-25 01:50:00,0.0,0.04315756
2024-09-25 01:55:00,0.0,0.04315756
2024-09-25 02:00:00,0.0,0.04315756
2024-09-25 02:05:00,0.0,0.04315756
2024-09-25 02:10:00,0.0,0.04315756
2024-09-25 02:15:00,0.0,0.04315756
2024-09-25 02:20:00,0.0,0.04315756
2024-09-25 02:25:00,0.0,0.04315756
2024-09-25 02:30:00,0.0,0.04315756
2024-09-25 02:35:00,0.0,0.04315756
2024-09-25 02:40:00,0.0,0.04315756
2024-09-25 02:45:00,0.0,0.04315756
2024-09-25 02:50:00,0.0,0.04315756
2024-09-25 02:55:00,0.0,0.04315756
2024-09-25 03:00:00,0.0,0.04315756
2024-09-25 03:05:00,0.0,0.04315756
2024-09-25 03:10:00,0.0,0.04315756
2024-09-25 03:15:00,0.0,0.04315756
2024-09-25 03:20:00,0.0,0.04315756
2024-09-25 03:25:00,0.0,0.04315756
2024-09-25 03:30:00,0.0,0.04315756
2024-09-25 03:35:00,0.0,0.04315756
2024-09-25 03:40:00,0.0,0.04315756
2024-09-25 03:45:00,0.0,0.04315756
2024-09-25 03:50:00,0.0,0.04315756
2024-09-25 03:55:00,0.0,0.04315756
2024-09-25 04:00:00,0.0,0.04315756
2024-09-25 04:05:00,0.0,0.04315756
2024-09-25 04:10:00,0.0,0.04315756
2024-09-25 04:15:00,0.0,0.04315756
2024-09-25 04:20:00,0.0,0.04315756
2024-09-25 04:25:00,0.0,0.04315756
2024-09-25 04:30:00,0.0,0.04315756
2024-09-25 04:35:00,0.0,0.04315756
2024-09-25 04:40:00,0.0,0.04315756
2024-09-25 04:45:00,0.0,0.04315756
2024-09-25 04:50:00,0.0,0.04315756
2024-09-25 04:55:00,0.0,0.04315756
2024-09-25 05:00:00,0.0,0.04315756
2024-09-25 05:05:00,0.0,0.04315756
2024-09-25 05:10:00,0.0,0.04315756
2024-09-25 05:15:00,0.0,0.04315756
2024-09-25 05:20:00,0.0,0.04315756
2024-09-25 05:25:00,0.0,0.04315756
2024-09-25 05:30:00,0.0,0.04315756
2024-09-25 05:35:00,0.0,0.04315756
2024-09-25 05:40:00,0.0,0.04315756
2024-09-25 05:45:00,0.0,0.04315756
2024-09-25 05:50:00,0.0,0.04315756
2024-09-25 05:55:00,0.0,0.04315756
2024-09-25 06:00:00,0.0,0.04315756
2024-09-25 06:05:00,0.0,0.04315756
2024-09-25 06:10:00,0.0,0.04315756
2024-09-25 06:15:00,0.0,0.04315756
2024-09-25 06:20:00,0.0,0.04315756
2024-09-25 06:25:00,0.0,0.04315756
2024-09-25 06:30:00,0.0,0.04315756
2024-09-25 06:35:00,0.0,0.04315756
2024-09-25 06:40:00,0.0,0.04315756
